12121364,0,0,0,0,24
Goalkeeper 1,Anders Lindegaard,Manchester United,On,Yes,27
Goalkeeper 2,Simon Mignolet,Liverpool,On,No,23
Defence 1,Tyler Blackett,Manchester United,Off,No,22
Defence 2,Kieran Gibbs,Arsenal,Team054,On,No
Defence 3,Azpilicueta,Chelsea,On,No,36
Defence 4,Gary Cahill,Chelsea,Off,No,29
Defence 5,Glen Johnson,Liverpool,Off,No,36
Midfielder 1,Angel Di Maria,Manchester United,On,No,22
Midfielder 2,Joe Allen,Liverpool,On,No,22Midfielder
Midfielder 3,David Silva,Manchester City,On,No,31
Midfielder 4,Mathieu Flamini,Arsenal,Off,No,22
Midfielder 5,Juan Cuadrado,Chelsea,On,No,33
Forward 1,Isaiah Brown,Chelsea,On,No,38
Forward 2,Jordon Ibe,Liverpool,Off,No,39
Forward 3,Alex Iwobi,Arsenal,On,No,45
12131415,0,0,0,0,24
Goalkeeper 1,Anders Lindegaard,Manchester United,On,No,27
Goalkeeper 2,Simon Mignolet,Liverpool,On,No,23
Defence 1,Tyler Blackett,Manchester United,Off,No,22
Defence 2,Kieran Gibbs,Arsenal,Team054,No,No
Defence 3,Azpilicueta,Chelsea,On,No,36
Defence 4,Gary Cahill,Chelsea,Off,No,29
Defence 5,Glen Johnson,Liverpool,Off,No,36
Midfielder 1,Angel Di Maria,Manchester United,On,No,22
Midfielder 2,Joe Allen,Liverpool,On,No,22Midfielder
Midfielder 3,David Silva,Manchester City,On,No,31
Midfielder 4,Mathieu Flamini,Arsenal,Off,No,22
Midfielder 5,Juan Cuadrado,Chelsea,On,No,33
Forward 1,Isaiah Brown,Chelsea,On,No,38
Forward 2,Jordon Ibe,Liverpool,Off,No,39
Forward 3,Alex Iwobi,Arsenal,On,Yes,45
12122629,0,0,0,0,24
Goalkeeper 1,Anders Lindegaard,Manchester United,On,Yes,27
Goalkeeper 2,Simon Mignolet,Liverpool,On,No,23
Defence 1,Tyler Blackett,Manchester United,Off,No,22
Defence 2,Kieran Gibbs,Arsenal,Team054,On,No
Defence 3,Azpilicueta,Chelsea,On,No,36
Defence 4,Gary Cahill,Chelsea,Off,No,29
Defence 5,Glen Johnson,Liverpool,Off,No,36
Midfielder 1,Angel Di Maria,Manchester United,On,No,22
Midfielder 2,Joe Allen,Liverpool,On,No,22Midfielder
Midfielder 3,David Silva,Manchester City,On,No,31
Midfielder 4,Mathieu Flamini,Arsenal,Off,No,22
Midfielder 5,Juan Cuadrado,Chelsea,On,No,33
Forward 1,Isaiah Brown,Chelsea,On,No,38
Forward 2,Jordon Ibe,Liverpool,Off,No,39
Forward 3,Alex Iwobi,Arsenal,On,No,45
13130031,0,0,0,0,24
Goalkeeper 1,Anders Lindegaard,Manchester United,On,Yes,27
Goalkeeper 2,Simon Mignolet,Liverpool,On,No,23
Defence 1,Tyler Blackett,Manchester United,Off,No,22
Defence 2,Kieran Gibbs,Arsenal,Team054,On,No
Defence 3,Azpilicueta,Chelsea,On,No,36
Defence 4,Gary Cahill,Chelsea,Off,No,29
Defence 5,Glen Johnson,Liverpool,Off,No,36
Midfielder 1,Angel Di Maria,Manchester United,On,No,22
Midfielder 2,Joe Allen,Liverpool,On,No,22Midfielder
Midfielder 3,David Silva,Manchester City,On,No,31
Midfielder 4,Mathieu Flamini,Arsenal,Off,No,22
Midfielder 5,Juan Cuadrado,Chelsea,On,No,33
Forward 1,Isaiah Brown,Chelsea,On,No,38
Forward 2,Jordon Ibe,Liverpool,Off,No,39
Forward 3,Alex Iwobi,Arsenal,On,No,45
